timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1771216045848,405,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,281,247,2,2,http://localhost:8000/api/v1/tasks,404,0,140
1771216045848,440,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,281,247,2,2,http://localhost:8000/api/v1/tasks,440,0,140
1771216046592,50,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,281,247,2,2,http://localhost:8000/api/v1/tasks,49,0,3
1771216046648,70,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,281,247,2,2,http://localhost:8000/api/v1/tasks,69,0,14
1771216047277,44,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,281,247,2,2,http://localhost:8000/api/v1/tasks,44,0,3
1771216047475,43,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,281,247,2,2,http://localhost:8000/api/v1/tasks,42,0,3
1771216047911,41,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,281,247,2,2,http://localhost:8000/api/v1/tasks,41,0,3
1771216048416,40,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,281,247,2,2,http://localhost:8000/api/v1/tasks,40,0,4
1771216048788,42,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,281,247,2,2,http://localhost:8000/api/v1/tasks,42,0,4
1771216048932,99,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,283,249,2,2,http://localhost:8000/api/v1/tasks,99,0,5
1771216049377,71,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,283,249,2,2,http://localhost:8000/api/v1/tasks,70,0,17
1771216049333,149,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,283,249,2,2,http://localhost:8000/api/v1/tasks,149,0,4
1771216049725,42,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,283,249,2,2,http://localhost:8000/api/v1/tasks,42,0,3
1771216050477,36,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,283,249,2,2,http://localhost:8000/api/v1/tasks,36,0,3
1771216050503,45,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,283,249,2,2,http://localhost:8000/api/v1/tasks,45,0,3
1771216050826,31,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,283,249,2,2,http://localhost:8000/api/v1/tasks,30,0,3
1771216050903,48,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,283,249,2,2,http://localhost:8000/api/v1/tasks,47,0,4
1771216051120,47,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,283,249,2,2,http://localhost:8000/api/v1/tasks,47,0,3
1771216051831,39,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,283,249,2,2,http://localhost:8000/api/v1/tasks,39,0,3
1771216052060,26,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,283,249,2,2,http://localhost:8000/api/v1/tasks,25,0,3
1771216052368,31,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,283,249,2,2,http://localhost:8000/api/v1/tasks,30,0,3
1771216052419,40,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,283,249,2,2,http://localhost:8000/api/v1/tasks,40,0,5
1771216052873,40,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,283,249,2,2,http://localhost:8000/api/v1/tasks,40,0,3
1771216053293,35,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,283,249,2,2,http://localhost:8000/api/v1/tasks,35,0,3
1771216053404,29,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,283,249,2,2,http://localhost:8000/api/v1/tasks,29,0,3
1771216054104,36,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,283,249,2,2,http://localhost:8000/api/v1/tasks,36,0,3
1771216054188,56,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,283,249,2,2,http://localhost:8000/api/v1/tasks,56,0,5
1771216054493,36,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,283,249,2,2,http://localhost:8000/api/v1/tasks,35,0,2
1771216055247,35,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,283,249,2,2,http://localhost:8000/api/v1/tasks,35,0,2
1771216055326,38,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,283,249,2,2,http://localhost:8000/api/v1/tasks,38,0,3
1771216056203,49,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,283,249,2,2,http://localhost:8000/api/v1/tasks,49,0,3
1771216056243,42,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,283,249,2,2,http://localhost:8000/api/v1/tasks,42,0,3
1771216056938,30,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,283,249,2,2,http://localhost:8000/api/v1/tasks,29,0,2
1771216057118,37,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,36,0,2
1771216057274,46,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,46,0,5
1771216057530,48,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,48,0,3
1771216057650,36,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,36,0,4
1771216057994,36,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,36,0,3
1771216058052,46,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,45,0,3
1771216058389,36,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,36,0,2
1771216058406,121,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,120,0,3
1771216058500,75,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,74,0,9
1771216058556,49,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,49,0,3
1771216058882,60,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,60,0,6
1771216059214,29,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,29,0,2
1771216059386,26,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,26,0,3
1771216059390,43,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,43,0,3
1771216059423,84,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,84,0,5
1771216060060,35,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,35,0,3
1771216060176,37,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,37,0,2
1771216060342,36,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,36,0,2
1771216060414,50,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,50,0,2
1771216060764,33,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,33,0,2
1771216060919,49,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,49,0,3
1771216061044,37,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,37,0,3
1771216061107,39,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,38,0,3
1771216061156,42,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,42,0,3
1771216061272,99,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,99,0,2
1771216061607,50,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,50,0,2
1771216061694,79,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,78,0,3
1771216061827,63,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,62,0,4
1771216062246,33,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,33,0,3
1771216062297,39,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,39,0,3
1771216062511,29,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,29,0,3
1771216062756,31,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,31,0,3
1771216063076,30,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,30,0,2
1771216063173,34,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,34,0,3
1771216063291,33,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,33,0,2
1771216063448,31,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,31,0,2
1771216063716,22,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,22,0,2
1771216063725,80,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,80,0,3
1771216064058,31,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,31,0,2
1771216064337,31,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,31,0,3
1771216064396,30,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,30,0,2
1771216064410,41,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,283,249,4,4,http://localhost:8000/api/v1/tasks,41,0,3
